"transaction_product_id","transaction_id","product_version_id"
40001,1,120
40002,2,351
40003,3,27
40004,4,341
40005,5,168
40006,6,93
40007,7,190
40008,8,186
40009,9,295
40010,10,72
40011,11,395
40012,12,262
40013,13,176
40014,14,187
40015,15,88
40016,16,351
40017,17,265
40018,18,300
40019,19,161
40020,20,93
40021,21,46
40022,22,27
40023,23,27
40024,24,337
40025,25,238
40026,26,111
40027,27,111
40028,28,75
40029,29,338
40030,30,157
40031,31,341
40032,32,144
40033,33,93
40034,34,282
40035,35,293
40036,36,87
40037,37,397
40038,38,120
40039,39,72
40040,40,293
40041,41,210
40042,42,22
40043,43,60
40044,44,291
40045,45,334
40046,46,21
40047,47,176
40048,48,2
40049,49,113
40050,50,73
40051,51,379
40052,52,57
40053,53,340
40054,54,46
40055,55,320
40056,56,298
40057,57,255
40058,58,123
40059,59,41
40060,60,78
40061,61,365
40062,62,300
40063,63,175
40064,64,146
40065,65,180
40066,66,113
40067,67,120
40068,68,227
40069,69,286
40070,70,46
40071,71,161
40072,72,172
40073,73,190
40074,74,107
40075,75,4
40076,76,190
40077,77,220
40078,78,252
40079,79,145
40080,80,132
40081,81,306
40082,82,328
40083,83,200
40084,84,300
40085,85,390
40086,86,144
40087,87,46
40088,88,314
40089,89,365
40090,90,364
40091,91,228
40092,92,8
40093,93,300
40094,94,113
40095,95,312
40096,96,144
40097,97,252
40098,98,213
40099,99,268
40100,100,33
40101,101,290
40102,102,227
40103,103,300
40104,104,168
40105,105,238
40106,106,224
40107,107,265
40108,108,331
40109,109,353
40110,110,321
40111,111,65
40112,112,306
40113,113,377
40114,114,136
40115,115,60
40116,116,338
40117,117,229
40118,118,350
40119,119,111
40120,120,336
40121,121,93
40122,122,383
40123,123,314
40124,124,135
40125,125,55
40126,126,25
40127,127,390
40128,128,93
40129,129,220
40130,130,210
40131,131,245
40132,132,72
40133,133,381
40134,134,168
40135,135,306
40136,136,48
40137,137,317
40138,138,289
40139,139,153
40140,140,189
40141,141,386
40142,142,291
40143,143,78
40144,144,378
40145,145,89
40146,146,16
40147,147,179
40148,148,325
40149,149,238
40150,150,248
40151,151,288
40152,152,87
40153,153,27
40154,154,351
40155,155,156
40156,156,397
40157,157,95
40158,158,220
40159,159,115
40160,160,359
40161,161,380
40162,162,168
40163,163,252
40164,164,228
40165,165,351
40166,166,168
40167,167,85
40168,168,145
40169,169,269
40170,170,340
40171,171,50
40172,172,334
40173,173,50
40174,174,115
40175,175,93
40176,176,12
40177,177,85
40178,178,107
40179,179,364
40180,180,350
40181,181,228
40182,182,187
40183,183,291
40184,184,45
40185,185,157
40186,186,228
40187,187,194
40188,188,351
40189,189,107
40190,190,27
40191,191,335
40192,192,201
40193,193,72
40194,194,93
40195,195,35
40196,196,308
40197,197,312
40198,198,256
40199,199,300
40200,200,82
40201,201,251
40202,202,361
40203,203,179
40204,204,35
40205,205,4
40206,206,14
40207,207,255
40208,208,170
40209,209,343
40210,210,330
40211,211,303
40212,212,222
40213,213,305
40214,214,291
40215,215,168
40216,216,338
40217,217,136
40218,218,272
40219,219,327
40220,220,115
40221,221,175
40222,222,101
40223,223,327
40224,224,380
40225,225,161
40226,226,101
40227,227,113
40228,228,292
40229,229,75
40230,230,113
40231,231,348
40232,232,202
40233,233,378
40234,234,45
40235,235,379
40236,236,258
40237,237,361
40238,238,72
40239,239,262
40240,240,328
40241,241,113
40242,242,82
40243,243,330
40244,244,162
40245,245,300
40246,246,135
40247,247,132
40248,248,82
40249,249,262
40250,250,64
40251,251,330
40252,252,168
40253,253,327
40254,254,295
40255,255,179
40256,256,242
40257,257,48
40258,258,213
40259,259,145
40260,260,288
40261,261,228
40262,262,123
40263,263,25
40264,264,347
40265,265,350
40266,266,210
40267,267,380
40268,268,270
40269,269,189
40270,270,120
40271,271,46
40272,272,297
40273,273,2
40274,274,340
40275,275,60
40276,276,105
40277,277,290
40278,278,248
40279,279,175
40280,280,381
40281,281,303
40282,282,144
40283,283,187
40284,284,210
40285,285,64
40286,286,107
40287,287,155
40288,288,321
40289,289,292
40290,290,334
40291,291,347
40292,292,125
40293,293,387
40294,294,265
40295,295,189
40296,296,123
40297,297,105
40298,298,228
40299,299,292
40300,300,227
40301,301,168
40302,302,229
40303,303,64
40304,304,72
40305,305,379
40306,306,44
40307,307,175
40308,308,89
40309,309,270
40310,310,136
40311,311,172
40312,312,144
40313,313,2
40314,314,340
40315,315,272
40316,316,364
40317,317,85
40318,318,73
40319,319,48
40320,320,132
40321,321,321
40322,322,72
40323,323,179
40324,324,392
40325,325,364
40326,326,334
40327,327,144
40328,328,377
40329,329,265
40330,330,144
40331,331,36
40332,332,45
40333,333,76
40334,334,250
40335,335,268
40336,336,334
40337,337,305
40338,338,73
40339,339,48
40340,340,213
40341,341,144
40342,342,383
40343,343,36
40344,344,258
40345,345,306
40346,346,64
40347,347,187
40348,348,303
40349,349,50
40350,350,46
40351,351,396
40352,352,335
40353,353,290
40354,354,254
40355,355,337
40356,356,341
40357,357,379
40358,358,340
40359,359,386
40360,360,310
40361,361,186
40362,362,89
40363,363,8
40364,364,73
40365,365,353
40366,366,180
40367,367,233
40368,368,44
40369,369,153
40370,370,168
40371,371,210
40372,372,107
40373,373,144
40374,374,132
40375,375,264
40376,376,33
40377,377,89
40378,378,25
40379,379,350
40380,380,351
40381,381,397
40382,382,254
40383,383,353
40384,384,295
40385,385,272
40386,386,292
40387,387,50
40388,388,176
40389,389,228
40390,390,265
40391,391,250
40392,392,248
40393,393,4
40394,394,76
40395,395,304
40396,396,341
40397,397,186
40398,398,340
40399,399,254
40400,400,366
40401,401,337
40402,402,341
40403,403,325
40404,404,179
40405,405,60
40406,406,297
40407,407,356
40408,408,105
40409,409,361
40410,410,337
40411,411,364
40412,412,350
40413,413,78
40414,414,48
40415,415,60
40416,416,228
40417,417,8
40418,418,353
40419,419,34
40420,420,302
40421,421,311
40422,422,189
40423,423,337
40424,424,57
40425,425,138
40426,426,353
40427,427,224
40428,428,364
40429,429,390
40430,430,328
40431,431,89
40432,432,265
40433,433,353
40434,434,179
40435,435,342
40436,436,245
40437,437,242
40438,438,60
40439,439,300
40440,440,161
40441,441,381
40442,442,330
40443,443,214
40444,444,300
40445,445,48
40446,446,220
40447,447,366
40448,448,227
40449,449,331
40450,450,395
40451,451,230
40452,452,222
40453,453,248
40454,454,248
40455,455,383
40456,456,306
40457,457,50
40458,458,258
40459,459,170
40460,460,328
40461,461,291
40462,462,364
40463,463,245
40464,464,35
40465,465,288
40466,466,242
40467,467,396
40468,468,25
40469,469,72
40470,470,105
40471,471,105
40472,472,327
40473,473,44
40474,474,105
40475,475,187
40476,476,196
40477,477,8
40478,478,377
40479,479,380
40480,480,214
40481,481,187
40482,482,228
40483,483,396
40484,484,351
40485,485,392
40486,486,93
40487,487,46
40488,488,115
40489,489,305
40490,490,189
40491,491,73
40492,492,85
40493,493,210
40494,494,378
40495,495,328
40496,496,320
40497,497,394
40498,498,338
40499,499,190
40500,500,265
40501,501,180
40502,502,379
40503,503,392
40504,504,395
40505,505,100
40506,506,100
40507,507,45
40508,508,123
40509,509,228
40510,510,59
40511,511,383
40512,512,364
40513,513,251
40514,514,82
40515,515,25
40516,516,304
40517,517,172
40518,518,390
40519,519,379
40520,520,341
40521,521,87
40522,522,258
40523,523,390
40524,524,332
40525,525,27
40526,526,350
40527,527,325
40528,528,229
40529,529,340
40530,530,364
40531,531,190
40532,532,172
40533,533,82
40534,534,325
40535,535,109
40536,536,321
40537,537,227
40538,538,256
40539,539,347
40540,540,303
40541,541,252
40542,542,57
40543,543,3
40544,544,201
40545,545,312
40546,546,8
40547,547,255
40548,548,238
40549,549,144
40550,550,379
40551,551,387
40552,552,328
40553,553,245
40554,554,88
40555,555,207
40556,556,123
40557,557,329
40558,558,336
40559,559,350
40560,560,258
40561,561,48
40562,562,25
40563,563,269
40564,564,312
40565,565,48
40566,566,85
40567,567,72
40568,568,115
40569,569,281
40570,570,270
40571,571,120
40572,572,342
40573,573,238
40574,574,238
40575,575,290
40576,576,21
40577,577,144
40578,578,330
40579,579,170
40580,580,100
40581,581,214
40582,582,248
40583,583,324
40584,584,304
40585,585,107
40586,586,268
40587,587,337
40588,588,210
40589,589,89
40590,590,279
40591,591,145
40592,592,288
