"transaction_id","product_id","customer_id","transaction_date","online_order","order_status"
1,2,2950,,false,Approved
2,3,3120,,true,Approved
3,37,402,,false,Approved
4,88,3135,,false,Approved
5,78,787,,true,Approved
6,25,2339,,true,Approved
7,22,1542,,true,Approved
8,15,2459,,false,Approved
9,67,1305,,false,Approved
10,12,3262,,true,Approved
11,5,1986,,false,Approved
12,61,2783,,true,Approved
13,35,1243,,true,Approved
14,16,2717,,false,Approved
15,12,247,,false,Approved
16,3,2961,,false,Approved
17,79,2426,,false,Approved
18,33,1842,,false,Approved
19,54,2268,,true,Approved
20,25,3002,,true,Approved
21,27,1582,,false,Approved
22,37,595,,true,Approved
23,37,2001,,true,Approved
24,82,515,,false,Approved
25,89,2822,,false,Approved
26,64,2596,,false,Approved
27,64,2666,,true,Approved
28,19,76,,false,Approved
29,72,3368,,true,Approved
30,91,1173,,false,Approved
31,88,2810,,true,Approved
32,1,3214,,false,Approved
33,25,1272,,false,Approved
34,99,2003,,true,Approved
35,0,2171,,false,Approved
36,92,3356,,false,Approved
37,14,1040,,false,Approved
38,2,2916,,false,Approved
39,12,427,,false,Approved
40,0,2448,,true,Approved
41,44,2570,,true,Approved
42,79,3398,,false,Approved
43,76,488,,false,Cancelled
44,46,165,,false,Approved
45,55,2787,,true,Approved
46,66,3053,,false,Approved
47,35,475,,true,Approved
48,81,1305,,true,Approved
49,86,1251,,false,Approved
50,32,3103,,false,Approved
51,77,3108,,false,Approved
52,96,857,,false,Approved
53,6,3455,,true,Approved
54,27,2549,,true,Approved
55,0,3140,,false,Approved
56,47,3406,,false,Approved
57,94,2294,,true,Approved
58,91,1031,,false,Approved
59,93,993,,true,Approved
60,60,3473,,false,Approved
61,0,1839,,false,Approved
62,33,1824,,true,Approved
63,35,368,,false,Approved
64,0,2000,,false,Approved
65,28,825,,true,Approved
66,86,3315,,true,Approved
67,2,75,,true,Approved
68,4,1498,,true,Approved
69,38,1612,,true,Approved
8486,0,14,,true,Approved
70,27,2192,,true,Approved
71,54,419,,false,Approved
72,77,3307,,true,Approved
73,22,2430,,false,Approved
74,56,1506,,true,Approved
75,58,1346,,false,Approved
76,22,927,,false,Approved
77,50,763,,false,Approved
78,80,2397,,false,Approved
79,87,102,,true,Approved
80,15,2884,,false,Approved
81,84,759,,true,Approved
82,21,773,,true,Approved
83,0,3398,,true,Approved
84,33,3297,,true,Approved
85,84,2434,,true,Approved
86,1,1861,,false,Approved
87,27,1233,,false,Approved
88,31,1390,,false,Approved
89,0,2682,,true,Approved
90,62,439,,true,Approved
91,17,1579,,true,Approved
92,73,2984,,true,Approved
93,33,3470,,true,Approved
94,86,1,,false,Approved
95,45,757,,false,Approved
96,1,1778,,false,Approved
97,80,211,,true,Approved
98,49,333,,,Approved
99,95,32,,false,Approved
100,0,119,,false,Approved
101,18,2347,,false,Approved
102,4,2353,,false,Approved
103,33,788,,false,Approved
104,78,1468,,false,Approved
105,89,821,,false,Approved
106,70,2489,,false,Approved
107,79,2710,,false,Approved
108,26,947,,true,Approved
109,39,1335,,true,Approved
110,36,1076,,false,Approved
111,0,3320,,true,Approved
112,84,779,,false,Approved
113,98,3296,,true,Approved
114,75,455,,true,Approved
115,76,1779,,false,Approved
116,72,2703,,true,Approved
117,42,806,,false,Approved
118,20,22,,false,Approved
119,64,1591,,false,Approved
120,0,678,,false,Approved
121,25,50,,false,Approved
122,24,1038,,true,Approved
123,31,1453,,true,Approved
124,98,1339,,false,Approved
125,22,3382,,true,Approved
126,53,773,,false,Approved
127,84,2503,,true,Approved
128,25,1057,,false,Approved
129,50,1397,,false,Approved
130,44,2134,,false,Approved
131,96,2403,,true,Approved
132,12,1937,,false,Approved
133,93,1282,,true,Approved
134,78,2183,,false,Approved
135,84,1788,,false,Approved
136,65,1170,,true,Approved
137,0,431,,false,Approved
138,29,1940,,false,Approved
139,32,2073,,false,Cancelled
140,11,462,,false,Approved
141,10,2728,,false,Approved
142,46,2053,,false,Approved
143,60,2135,,true,Approved
144,92,1217,,false,Approved
145,7,2992,,true,Approved
146,41,3261,,true,Approved
147,67,2748,,true,Approved
148,14,3262,,false,Approved
149,89,788,,false,Approved
150,9,3067,,true,Approved
151,31,701,,false,Approved
152,92,648,,false,Approved
153,37,3286,,true,Approved
154,3,3383,,true,Approved
155,56,982,,true,Approved
156,14,676,,true,Approved
157,6,385,,true,Approved
158,50,1229,,true,Approved
159,10,3232,,false,Approved
160,0,3300,,false,Approved
161,69,2381,,false,Approved
162,78,371,,false,Approved
163,80,2519,,true,Approved
164,17,2264,,false,Approved
165,3,2637,,true,Approved
166,78,3262,,false,Approved
167,90,3177,,,Approved
168,87,2267,,false,Approved
169,97,456,,false,Approved
170,6,404,,,Approved
